,selected columns,mse,sqrt_mse
1448,"(1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0)",195045.05653850682,441.6390568535655
1449,"(1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1)",159972.75834416915,399.9659464806587
1450,"(1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0)",195048.16372380566,441.642574627725
1451,"(1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1)",159972.49954071865,399.96562294867124
1452,"(1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0)",194114.63140259596,440.5844202903638
1453,"(1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1)",159921.28361689678,399.9015924160552
1454,"(1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0)",194117.52916114187,440.58770881759955
1455,"(1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1)",159921.0462636203,399.9012956513398
1456,"(1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0)",198753.02106524838,445.8172507488336
1457,"(1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1)",157523.44396816927,396.8922321842156
1458,"(1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0)",198756.72336598547,445.8214029922582
1459,"(1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1)",157523.60306045666,396.8924326066909
1460,"(1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0)",197676.94295030212,444.6087526694702
1461,"(1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1)",157872.74699812755,397.332036209173
1462,"(1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0)",197680.36517777175,444.6126012359206
1463,"(1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1)",157872.77873143792,397.33207614215837
1464,"(1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0)",195214.97496656867,441.83138748460215
1465,"(1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1)",157467.46939701095,396.8217098358039
1466,"(1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0)",195218.59120346687,441.83547979249795
1467,"(1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1)",157467.56491531787,396.8218301899706
1468,"(1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0)",195453.91703782417,442.10170440502054
1469,"(1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1)",157559.5021431059,396.9376552345543
1470,"(1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0)",195457.66069127346,442.10593831261014
1471,"(1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1)",157559.45375357103,396.93759428097894
1472,"(1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0)",263927.46994952264,513.7387175885449
1473,"(1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1)",168092.88934027456,409.99132837204564
1474,"(1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0)",263933.9522660986,513.7450265122754
1475,"(1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1)",168095.85962557077,409.9949507317996
1476,"(1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0)",259631.57187577296,509.5405497855622
1477,"(1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1)",167598.1428912199,409.38752166037
1478,"(1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0)",259637.62950563975,509.5464939587356
1479,"(1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1)",167600.96625181026,409.39096991972144
1480,"(1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0)",256712.30420822362,506.66784406376496
1481,"(1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1)",165766.4033103828,407.1442045644059
1482,"(1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0)",256718.43038523314,506.67388958306617
1483,"(1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1)",165769.05714988758,407.1474636417223
1484,"(1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0)",252634.04485134673,502.6271429711558
1485,"(1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1)",165330.94158590987,406.6090771071274
1486,"(1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0)",252639.75776114425,502.63282598845876
1487,"(1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1)",165333.45934946398,406.6121731447104
1488,"(1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0)",265333.05918827496,515.1049011495377
1489,"(1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1)",168224.81970021682,410.15219090017894
1490,"(1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0)",265339.84174215863,515.1114847701987
1491,"(1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1)",168227.9584588976,410.15601721649483
1492,"(1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0)",260630.66247718837,510.51999224044926
1493,"(1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1)",167716.15989168972,409.53163478746023
1494,"(1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0)",260637.12050810835,510.5263171552553
1495,"(1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1)",167719.1344867525,409.53526647500394
1496,"(1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0)",257823.62088872012,507.76335126584326
1497,"(1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1)",166214.9544295434,407.6946828565997
1498,"(1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0)",257830.3637720326,507.76999101171054
1499,"(1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1)",166218.07769841905,407.69851324038336
1500,"(1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0)",257482.71294193034,507.42754452427033
1501,"(1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1)",166728.5856047627,408.3241183236213
1502,"(1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0)",257489.9454497363,507.43467111514593
1503,"(1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1)",166731.9161926574,408.3281966661835
1504,"(1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0)",195932.08071742987,442.6421587664576
1505,"(1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1)",156928.5272604666,396.14205439522146
1506,"(1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0)",195935.40764611255,442.64591678463785
1507,"(1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1)",156928.43610588956,396.14193934231395
1508,"(1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0)",194931.55330320913,441.5105358915109
1509,"(1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1)",156890.3309276455,396.0938410625006
1510,"(1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0)",194934.6571058829,441.5140508589539
1511,"(1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1)",156890.24258588869,396.09372954628896
1512,"(1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0)",192996.47234851742,439.31363779026645
1513,"(1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1)",159163.72162034415,398.95328250353344
1514,"(1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0)",192999.4337908875,439.31700831049955
1515,"(1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1)",159163.31320393103,398.95277064325677
1516,"(1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0)",192084.73061711006,438.27472048603266
1517,"(1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1)",159124.4143081738,398.9040164101808
1518,"(1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0)",192087.4943164089,438.27787340499964
1519,"(1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1)",159124.0251029387,398.90352856666823
1520,"(1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0)",196368.13379639163,443.1344421238228
1521,"(1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1)",156456.56774311655,395.54591104335356
1522,"(1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0)",196371.69426990947,443.13845947955076
1523,"(1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1)",156456.57321020012,395.5459179541613
1524,"(1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0)",195350.73728522044,441.98499667434464
1525,"(1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1)",156783.94604581007,395.9595257672305
1526,"(1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0)",195354.02582916437,441.9887168573021
1527,"(1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1)",156783.8137663906,395.95935873065383
1528,"(1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0)",192790.74061048325,439.07942403451705
1529,"(1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1)",156571.28788192204,395.69089941761615
1530,"(1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0)",192794.20760487724,439.083372043257
1531,"(1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1)",156571.21526704673,395.6908076605353
1532,"(1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0)",193010.06841288303,439.32911172933103
1533,"(1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1)",156596.01185521117,395.7221397081684
1534,"(1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0)",193013.65193336716,439.33319011129487
1535,"(1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1)",156595.77196143722,395.7218365991915
1536,"(1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0)",317477.77013277146,563.451657316554
1537,"(1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1)",273882.04453697376,523.3374098389812
1538,"(1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0)",317481.2170620457,563.4547160704627
1539,"(1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1)",273883.83357557014,523.33911909542
1540,"(1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0)",314051.79677023937,560.403244789178
1541,"(1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1)",273919.3489362497,523.3730494936185
1542,"(1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0)",314055.11906431324,560.4062089808724
1543,"(1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1)",273921.0894038838,523.374712231957
1544,"(1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0)",303499.40423593123,550.9078001226078
1545,"(1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1)",263198.7233772264,513.0289693352865
1546,"(1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0)",303502.9131656609,550.9109847930616
1547,"(1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1)",263200.3885971016,513.0305922623929
1548,"(1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0)",299938.8219300603,547.6667069761136
1549,"(1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1)",263248.3997788692,513.0773818624917
1550,"(1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0)",299942.191367027,547.6697831422024
1551,"(1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1)",263250.01070703246,513.0789517287105
1552,"(1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0)",312681.6987027802,559.1794870189536
1553,"(1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1)",270008.87973268103,519.6237867271676
1554,"(1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0)",312684.85567499336,559.18230987308
1555,"(1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1)",270010.66118338995,519.6255008978966
1556,"(1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0)",304972.0419110268,552.2427382148422
1557,"(1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1)",269037.6073414609,518.6883528106843
1558,"(1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0)",304974.86643957894,552.2452955341303
1559,"(1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1)",269039.32932987687,518.6900127531635
1560,"(1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0)",304330.4199898472,551.6615085266029
1561,"(1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1)",263527.1221113291,513.348928226532
1562,"(1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0)",304334.39339583577,551.6651098228306
1563,"(1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1)",263528.83704302297,513.3505985610838
