# Renewables.ninja Weather (Point API) - 43.653, -79.384 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Toronto, temperature in ºC, precipitation in mm/h, snowfall in mm/h, snow_mass in kg/m², air_density in kg/m³, radiation_surface in W/m², radiation_toa in W/m², cloud_cover in fraction
# {"units": {"time": "UTC", "local_time": "America/Toronto", "temperature": "\u00baC", "precipitation": "mm/h", "snowfall": "mm/h", "snow_mass": "kg/m\u00b2", "air_density": "kg/m\u00b3", "radiation_surface": "W/m\u00b2", "radiation_toa": "W/m\u00b2", "cloud_cover": "fraction"}, "params": {"local_time": true, "header": true, "lat": "43.6534817", "lon": "-79.3839347", "date_from": "2009-01-01", "date_to": "2009-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": true, "var_precsnoland": true, "var_snomas": true, "var_rhoa": true, "var_swgdn": true, "var_swtdn": true, "var_cldtot": true}}
time,local_time,temperature,precipitation,snowfall,snow_mass,air_density,radiation_surface,radiation_toa,cloud_cover
2009-01-01 00:00,2008-12-31 19:00,-8.020,0,0,3.629,1.328,0,0,0.644
2009-01-01 01:00,2008-12-31 20:00,-8.256,0,0,3.626,1.330,0,0,0.658
2009-01-01 02:00,2008-12-31 21:00,-8.390,0,0,3.623,1.331,0,0,0.657
2009-01-01 03:00,2008-12-31 22:00,-8.613,0,0,3.621,1.333,0,0,0.577
2009-01-01 04:00,2008-12-31 23:00,-9.018,0,0,3.620,1.335,0,0,0.480
2009-01-01 05:00,2009-01-01 00:00,-9.268,0,0,3.620,1.337,0,0,0.500
2009-01-01 06:00,2009-01-01 01:00,-9.361,0,0,3.620,1.338,0,0,0.478
2009-01-01 07:00,2009-01-01 02:00,-9.358,0,0,3.620,1.338,0,0,0.407
2009-01-01 08:00,2009-01-01 03:00,-9.524,0,0,3.621,1.339,0,0,0.210
2009-01-01 09:00,2009-01-01 04:00,-9.634,0,0,3.621,1.338,0,0,0.162
2009-01-01 10:00,2009-01-01 05:00,-9.790,0,0,3.622,1.337,0,0,0.086
2009-01-01 11:00,2009-01-01 06:00,-9.953,0,0,3.623,1.337,0,0,0.055
2009-01-01 12:00,2009-01-01 07:00,-9.984,0,0,3.623,1.336,0.384,1.502,0.241
2009-01-01 13:00,2009-01-01 08:00,-9.291,0,0,3.624,1.335,65.280,130.821,0.408
2009-01-01 14:00,2009-01-01 09:00,-8.181,0.001,0.001,3.624,1.333,181.165,316.064,0.381
2009-01-01 15:00,2009-01-01 10:00,-7.267,0,0,3.620,1.329,308.549,453.999,0.239
2009-01-01 16:00,2009-01-01 11:00,-6.427,0.001,0.001,3.611,1.325,373.786,535.091,0.418
2009-01-01 17:00,2009-01-01 12:00,-5.815,0.003,0.003,3.601,1.321,376.505,553.804,0.685
2009-01-01 18:00,2009-01-01 13:00,-5.382,0.004,0.004,3.594,1.318,295.872,508.917,0.718
2009-01-01 19:00,2009-01-01 14:00,-5.185,0.011,0.011,3.593,1.315,201.365,403.509,0.712
2009-01-01 20:00,2009-01-01 15:00,-5.191,0.034,0.034,3.613,1.313,81.802,244.691,0.956
2009-01-01 21:00,2009-01-01 16:00,-5.284,0.078,0.078,3.671,1.311,7.293,53.578,0.994
2009-01-01 22:00,2009-01-01 17:00,-5.128,0.143,0.143,3.785,1.308,0,0,0.993
2009-01-01 23:00,2009-01-01 18:00,-4.705,0.162,0.162,3.938,1.304,0,0,0.993
2009-01-02 00:00,2009-01-01 19:00,-4.169,0.142,0.142,4.088,1.298,0,0,0.994
2009-01-02 01:00,2009-01-01 20:00,-3.741,0.110,0.110,4.210,1.294,0,0,0.993
2009-01-02 02:00,2009-01-01 21:00,-3.483,0.082,0.082,4.303,1.289,0,0,0.988
2009-01-02 03:00,2009-01-01 22:00,-3.203,0.082,0.082,4.384,1.285,0,0,0.987
2009-01-02 04:00,2009-01-01 23:00,-2.811,0.087,0.087,4.468,1.279,0,0,0.994
2009-01-02 05:00,2009-01-02 00:00,-2.400,0.148,0.148,4.588,1.274,0,0,0.994
2009-01-02 06:00,2009-01-02 01:00,-1.937,0.010,0.010,4.658,1.270,0,0,0.995
2009-01-02 07:00,2009-01-02 02:00,-1.457,0.006,0.006,4.665,1.266,0,0,0.996
2009-01-02 08:00,2009-01-02 03:00,-1.057,0.012,0.011,4.673,1.262,0,0,0.996
2009-01-02 09:00,2009-01-02 04:00,-0.812,0.011,0.010,4.682,1.260,0,0,0.996
2009-01-02 10:00,2009-01-02 05:00,-0.714,0.011,0.011,4.690,1.260,0,0,0.995
2009-01-02 11:00,2009-01-02 06:00,-0.770,0.006,0.006,4.696,1.261,0,0,0.920
2009-01-02 12:00,2009-01-02 07:00,-1.130,0.001,0.001,4.697,1.262,0.264,1.692,0.591
2009-01-02 13:00,2009-01-02 08:00,-1.068,0,0,4.696,1.263,53.336,132.508,0.293
2009-01-02 14:00,2009-01-02 09:00,-0.163,0,0,4.689,1.262,162.307,317.937,0.254
2009-01-02 15:00,2009-01-02 10:00,0.763,0,0,4.656,1.258,274.204,455.874,0.131
2009-01-02 16:00,2009-01-02 11:00,1.566,0.001,0.001,4.553,1.254,372.501,537.016,0.044
2009-01-02 17:00,2009-01-02 12:00,2.034,0.015,0.015,4.400,1.250,391.646,555.804,0.112
2009-01-02 18:00,2009-01-02 13:00,2.083,0.051,0.043,4.279,1.249,306.728,510.917,0.286
2009-01-02 19:00,2009-01-02 14:00,1.756,0.100,0.067,4.255,1.250,183.727,405.384,0.524
2009-01-02 20:00,2009-01-02 15:00,1.061,0.057,0.029,4.278,1.253,68.638,246.461,0.540
2009-01-02 21:00,2009-01-02 16:00,-0.077,0.027,0.021,4.296,1.260,12.992,54.768,0.374
2009-01-02 22:00,2009-01-02 17:00,-1.425,0.007,0.007,4.303,1.269,0,0,0.413
2009-01-02 23:00,2009-01-02 18:00,-2.083,0.003,0.003,4.303,1.274,0,0,0.417
2009-01-03 00:00,2009-01-02 19:00,-2.209,0.002,0.002,4.302,1.276,0,0,0.406
2009-01-03 01:00,2009-01-02 20:00,-2.097,0.002,0.002,4.304,1.276,0,0,0.412
2009-01-03 02:00,2009-01-02 21:00,-1.998,0.001,0.001,4.305,1.277,0,0,0.380
2009-01-03 03:00,2009-01-02 22:00,-2.006,0.001,0.001,4.305,1.278,0,0,0.313
2009-01-03 04:00,2009-01-02 23:00,-2.178,0,0,4.305,1.279,0,0,0.236
2009-01-03 05:00,2009-01-03 00:00,-2.441,0,0,4.307,1.280,0,0,0.230
2009-01-03 06:00,2009-01-03 01:00,-2.505,0.001,0.001,4.309,1.281,0,0,0.267
2009-01-03 07:00,2009-01-03 02:00,-2.455,0.001,0.001,4.312,1.283,0,0,0.369
2009-01-03 08:00,2009-01-03 03:00,-2.315,0.002,0.002,4.314,1.285,0,0,0.529
2009-01-03 09:00,2009-01-03 04:00,-2.357,0.002,0.002,4.316,1.286,0,0,0.717
2009-01-03 10:00,2009-01-03 05:00,-2.514,0.002,0.002,4.318,1.288,0,0,0.824
2009-01-03 11:00,2009-01-03 06:00,-2.856,0.003,0.003,4.321,1.291,0,0,0.467
2009-01-03 12:00,2009-01-03 07:00,-3.367,0.007,0.007,4.328,1.295,0.261,1.914,0.446
2009-01-03 13:00,2009-01-03 08:00,-3.680,0.012,0.012,4.338,1.299,41.636,134.330,0.414
2009-01-03 14:00,2009-01-03 09:00,-3.715,0.030,0.030,4.358,1.302,134.339,319.813,0.326
2009-01-03 15:00,2009-01-03 10:00,-3.568,0.010,0.010,4.368,1.304,261.394,457.960,0.239
2009-01-03 16:00,2009-01-03 11:00,-3.199,0.017,0.017,4.369,1.303,342.119,539.094,0.139
2009-01-03 17:00,2009-01-03 12:00,-2.762,0.007,0.007,4.363,1.301,383.410,557.804,0.052
2009-01-03 18:00,2009-01-03 13:00,-2.470,0.001,0.001,4.347,1.299,372.479,512.958,0.017
2009-01-03 19:00,2009-01-03 14:00,-2.432,0.001,0.001,4.332,1.298,287.622,407.384,0.006
2009-01-03 20:00,2009-01-03 15:00,-2.756,0,0,4.326,1.299,159.018,248.398,0.003
2009-01-03 21:00,2009-01-03 16:00,-3.881,0.001,0.001,4.326,1.301,27.422,56.067,0.002
2009-01-03 22:00,2009-01-03 17:00,-4.930,0,0,4.328,1.304,0,0,0.001
2009-01-03 23:00,2009-01-03 18:00,-5.489,0,0,4.329,1.307,0,0,0.001
2009-01-04 00:00,2009-01-03 19:00,-5.956,0,0,4.330,1.309,0,0,0.001
