# Renewables.ninja Weather (Point API) - 43.653, -79.384 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Toronto, temperature in ºC, precipitation in mm/h, snowfall in mm/h, snow_mass in kg/m², air_density in kg/m³, radiation_surface in W/m², radiation_toa in W/m², cloud_cover in fraction
# {"units": {"time": "UTC", "local_time": "America/Toronto", "temperature": "\u00baC", "precipitation": "mm/h", "snowfall": "mm/h", "snow_mass": "kg/m\u00b2", "air_density": "kg/m\u00b3", "radiation_surface": "W/m\u00b2", "radiation_toa": "W/m\u00b2", "cloud_cover": "fraction"}, "params": {"local_time": true, "header": true, "lat": "43.6534817", "lon": "-79.3839347", "date_from": "2007-01-01", "date_to": "2007-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": true, "var_precsnoland": true, "var_snomas": true, "var_rhoa": true, "var_swgdn": true, "var_swtdn": true, "var_cldtot": true}}
time,local_time,temperature,precipitation,snowfall,snow_mass,air_density,radiation_surface,radiation_toa,cloud_cover
2007-01-01 00:00,2006-12-31 19:00,3.110,0.166,0.039,2.374,1.256,0,0,0.995
2007-01-01 01:00,2006-12-31 20:00,3.294,0.241,0.009,2.322,1.251,0,0,0.991
2007-01-01 02:00,2006-12-31 21:00,3.586,0.968,0.036,2.275,1.246,0,0,0.984
2007-01-01 03:00,2006-12-31 22:00,3.775,2.118,0.008,2.218,1.242,0,0,0.990
2007-01-01 04:00,2006-12-31 23:00,3.992,2.188,0,2.145,1.239,0,0,0.991
2007-01-01 05:00,2007-01-01 00:00,5.215,0.857,0.002,2.027,1.231,0,0,0.978
2007-01-01 06:00,2007-01-01 01:00,6.385,0.635,0,1.829,1.224,0,0,0.455
2007-01-01 07:00,2007-01-01 02:00,6.341,0.080,0,1.668,1.223,0,0,0.215
2007-01-01 08:00,2007-01-01 03:00,6.864,0.049,0,1.515,1.220,0,0,0.253
2007-01-01 09:00,2007-01-01 04:00,7.101,0.030,0,1.345,1.220,0,0,0.246
2007-01-01 10:00,2007-01-01 05:00,6.574,0.013,0,1.219,1.223,0,0,0.202
2007-01-01 11:00,2007-01-01 06:00,5.965,0.007,0,1.134,1.227,0,0,0.196
2007-01-01 12:00,2007-01-01 07:00,5.236,0.005,0,1.079,1.231,0.276,1.423,0.266
2007-01-01 13:00,2007-01-01 08:00,4.948,0.004,0,1.040,1.234,51.179,130.061,0.339
2007-01-01 14:00,2007-01-01 09:00,5.274,0.004,0,0.992,1.235,149.460,315.312,0.332
2007-01-01 15:00,2007-01-01 10:00,6.108,0.007,0,0.929,1.231,248.179,453.124,0.241
2007-01-01 16:00,2007-01-01 11:00,6.946,0.012,0,0.854,1.226,316.635,534.094,0.197
2007-01-01 17:00,2007-01-01 12:00,7.443,0.038,0,0.774,1.223,338.035,552.804,0.218
2007-01-01 18:00,2007-01-01 13:00,7.482,0.052,0,0.700,1.223,275.619,507.958,0.257
2007-01-01 19:00,2007-01-01 14:00,7.102,0.076,0,0.642,1.226,195.819,402.634,0.287
2007-01-01 20:00,2007-01-01 15:00,6.306,0.109,0,0.606,1.229,99.426,243.879,0.322
2007-01-01 21:00,2007-01-01 16:00,5.164,0.077,0,0.589,1.234,15.268,53.020,0.279
2007-01-01 22:00,2007-01-01 17:00,4.305,0.049,0,0.583,1.239,0,0,0.171
2007-01-01 23:00,2007-01-01 18:00,3.697,0.049,0,0.580,1.244,0,0,0.168
2007-01-02 00:00,2007-01-01 19:00,3.557,0.057,0.003,0.577,1.247,0,0,0.164
2007-01-02 01:00,2007-01-01 20:00,3.403,0.038,0.001,0.572,1.249,0,0,0.173
2007-01-02 02:00,2007-01-01 21:00,3.055,0.091,0,0.569,1.252,0,0,0.027
2007-01-02 03:00,2007-01-01 22:00,2.432,0.012,0,0.569,1.257,0,0,0.007
